dur_qualtrics_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q9_5_TEXT,rep_avail,Q10,Q11,Q12,Q13,Q14,Q15
463,Reviewer1,Water Resources Research,10.1002/2017WR020609,"Liljedahl, A.K.; Hinzman, L.D.; Kane, D.L.; Oechel, W.C.; Tweedie, C.E.; Zona, D.; Guillaume, J.H.A.; Helgeson, C.; Elsawah, S.; Jakeman, A.J.; Kummu, M. (2017) Toward best practice framing of uncertainty in scientific publications: A review of Water Resources Research abstracts. Water Resources Research. 53, 6744-6762.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,review paper with key data reported in an appendix in excel,,,,,,,10,,,
280,Reviewer6,Water Resources Research,10.1002/2017WR020628,"Fang, H.W.; Lai, H.J.; Cheng, W.; Huang, L.; He, G.J. (2017) Modeling sediment transport with an integrated view of the biofilm effects. Water Resources Research. 53, 7536-7557.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
842,Reviewer2,Water Resources Research,10.1002/2017WR020630,"Menberu, M.W.; Marttila, H.; Tahvanainen, T.; Kotiaho, J.S.; Hokkanen, R.; KlÃ¸ve, B.; Ronkanen, A.-K. (2017) Changes in Pore Water Quality After Peatland Restoration: Assessment of a Large-Scale, Replicated Before-After-Control-Impact Study in Finland. Water Resources Research. 53, 8327-8343.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,"Field exeperiment study. Only aggregate data presented in tables and figures. No time series water level data presented. No scripts used to produce statistical (e.g., principal components) analysis",,,,,,,13,,,
151,Reviewer2,Water Resources Research,10.1002/2017WR020634,"Gillman, M.A.; Lamoureux, S.F.; LafreniÃ¨re, M.J. (2017) Calibration of a modified temperature-light intensity logger for quantifying water electrical conductivity. Water Resources Research. 53, 8120-8126.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text","Directions to run,Code/Model/Software,Input data","Data available in Excel file in the supplemental materials. All observations present, look to be sufficient to conduct the simple analysis (regression) done in the paper.",Yes,,,avail,No- Terminate,,16,,,All the data was present. Simple analysis
151,Reviewer4,Water Resources Research,10.1002/2017WR020634,"Gillman, M.A.; Lamoureux, S.F.; LafreniÃ¨re, M.J. (2017) Calibration of a modified temperature-light intensity logger for quantifying water electrical conductivity. Water Resources Research. 53, 8120-8126.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text","Directions to run,Code/Model/Software,Input data","Data available in Excel file in the supplemental materials. All observations present, look to be sufficient to conduct the simple analysis (regression) done in the paper.",Yes,,,repro,Yes,Yes,30,,,All the data was present. Simple analysis
1314,Reviewer5,Water Resources Research,10.1002/2017WR020665,"Hut, R.W.; van de Giesen, N.C.; Drost, N. (2017) Comment on â€œMost computational hydrology is not reproducible, so is it really science?â€ by Christopher Hutton et al.: Let hydrologists learn the latest computer science by working with Research Software Engineers (RSEs) and not reinvent the waterwheel ourselves. Water Resources Research. 53, 4524-4526.",Not applicable - dataless paper/review paper,,,,,,,,,,2,,,
175,Reviewer2,Water Resources Research,10.1002/2017WR020667,"Hernandez, M.; Nearing, M.A.; Al-Hamdan, O.Z.; Pierson, F.B.; Armendariz, G.; Weltz, M.A.; Spaeth, K.E.; Williams, C.J.; Nouwakpo, S.K.; Goodrich, D.C.; Unkrich, C.L.; Nichols, M.H.; Holifield Collins, C.D.; Munz, M.; Oswald, S.E.; Schmidt, C. (2017) Coupled Long-Term Simulation of Reach-Scale Water and Heat Fluxes Across the River-Groundwater Interface for Retrieving Hyporheic Residence Times and Temperature Dynamics. Water Resources Research. 53, 8900-8924.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Field data collection and modeling study. Raw temperature and pressure data present in csv files. No meta data to describe data or units of measurement. Several references to Matlab packages in manuscript text but no model code or output files.,,,,,,,23,,,
1465,Reviewer1,Water Resources Research,10.1002/2017WR020721,"Hu, R.; Wan, J.; Kim, Y.; Tokunaga, T.K. (2017) Wettability impact on supercritical CO2 capillary trapping: Pore-scale visualization and quantification. Water Resources Research. 53, 6377-6394.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Input data are mentioned to be in the supporting materials its not fully available. Data summaries are available,,,,,,,10,,,
48,Reviewer1,Water Resources Research,10.1002/2017WR020774,"GÃ³mez-HernÃ¡ndez, J.J.; Butler, J.J.; Fiori, A.; Bolster, D.; Cvetkovic, V.; Dagan, G.; Hyndman, D. (2017) Introduction to special section on Modeling highly heterogeneous aquifers: Lessons learned in the last 30 years from the MADE experiments and others. Water Resources Research. 53, 2581-2584.",Not applicable - dataless paper/review paper,,,,,,,,,,1,,,
497,Reviewer2,Water Resources Research,10.1002/2017WR020838,"Tetzlaff, D.; Carey, S.K.; McNamara, J.P.; Laudon, H.; Soulsby, C. (2017) The essential value of long-term experimental data for hydrology and water management. Water Resources Research. 53, 2598-2604.",Not applicable - dataless paper/review paper,,,Interesting. Review article on the need for long-term monitoring in hydrology. But they fail to say anything about making data from long-term monitoring studies available so others can use.,,,,,,,7,,,
515,Reviewer2,Water Resources Research,10.1002/2017WR020851,"Pangle, L.A.; Kim, M.; Cardoso, C.; Lora, M.; Meira Neto, A.A.; Volkmann, T.H.M.; Wang, Y.; Troch, P.A.; Harman, C.J.; Michael, H.A.; Post, V.E.A.; Wilson, A.M.; Werner, A.D. (2017) Science, society, and the coastal groundwater squeeze. Water Resources Research. 53, 2610-2617.",Not applicable - dataless paper/review paper,,,"Coastal groundwater squeeze review article - problems, science, directions forward",,,,,,,7,,,
1539,Reviewer3,Water Resources Research,10.1002/2017WR020858,"Ye, S.; Reisinger, A.J.; Tank, J.L.; Baker, M.A.; Hall, Jr., R.O.; Rosi, E.J.; Sivapalan, M. (2017) Scaling Dissolved Nutrient Removal in River Networks: A Comparative Modeling Investigation. Water Resources Research. 53, 9623-9641.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request",Code/Model/Software,The data from field measurements used in the model are available upon request from author. The model is available at GitHub,,,,,,,10,,,
225,Reviewer4,Water Resources Research,10.1002/2017WR020863,"Desbarats, A.J.; Pal, T.; Mukherjee, P.K.; Beckie, R.D. (2017) Geochemical Evolution of Groundwater Flowing Through Arsenic Source Sediments in an Aquifer System of West Bengal, India. Water Resources Research. 53, 8715-8735.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
538,Reviewer5,Water Resources Research,10.1002/2017WR020876,"Oriani, F.; Ohana-Levi, N.; Marra, F.; Straubhaar, J.; Mariethoz, G.; Renard, P.; Karnieli, A.; Morin, E. (2017) Simulating Small-Scale Rainfall Fields Conditioned by Weather State and Elevation: A Data-Driven Approach Based on Rainfall Radar Images. Water Resources Research. 53, 8512-8532.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
60,Reviewer2,Water Resources Research,10.1002/2017WR020895,"Kumar, S.V.; Wang, S.; Mocko, D.M.; Peters-Lidard, C.D.; Xia, Y.; Zhuang, L.; Hassanizadeh, S.M.; Qin, C.-Z.; de Waal, A. (2017) Experimental Investigation of Hysteretic Dynamic Capillarity Effect in Unsaturated Flow. Water Resources Research. 53, 9078-9088.",Not specified where they got the data/where data is,,,"Experimental results. But only figures and tables, no raw data presented or code used to generate figures.",,,,,,,9,,,
1544,Reviewer5,Water Resources Research,10.1002/2017WR021032,"Suzuki, A.; Watanabe, N.; Li, K.; Horne, R.N. (2017) Fracture network created by 3-D printer and its validation using CT images. Water Resources Research. 53, 6330-6339.",Not applicable - dataless paper/review paper,,,,,,,,,,3,,,
237,Reviewer6,Water Resources Research,10.1002/2017WR021066,"Zhang, M.; Yu, G. (2017) Critical conditions of incipient motion of cohesive sediments. Water Resources Research. 53, 7798-7815.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,Laboratory tests on incipient motion of cohesive sediments.,,,,,,,4,,,
3288,Reviewer3,Water Resources Research,10.1002/2017WR021074,"Sansom, J.; Bulla, J.; Carey-Smith, T.; Thomson, P. (2017) The impact of conventional space-time aggregation on the dynamics of continuous-time rainfall. Water Resources Research. 53, 7558-7575.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,The data is accessible upon creating account with the organization that collects and maintains the data. A few papers are mentioned as ,,,,,,,30,,,
100,Reviewer4,Water Resources Research,10.1002/2017WR021253,"Klotz, D.; Herrnegger, M.; Schulz, K. (2017) Symbolic Regression for the Estimation of Transfer Functions of Hydrological Models. Water Resources Research. 53, 9402-9423.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
398,Reviewer2,Water Resources Research,10.1002/2017WR021717,"Lyu, Y.; Brusseau, M.L.; El Ouni, A.; Araujo, J.B.; Su, X. (2017) The Gas-Absorption/Chemical-Reaction Method for Measuring Air-Water Interfacial Area in Natural Porous Media. Water Resources Research. 53, 9519-9527.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Experimental paper with lab set up. Some aggregate results presented in the paper but no data describing individual observations.,,,,,,,6,,,
